make: 'bandwidthTest' is up to date.
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --htod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2D,144542.6,0.00021,31982592,1
D2D,143890.5,0.00022,32506880,1
D2D,144505.1,0.00022,33031168,1
D2D,143834.7,0.00022,33555456,1
D2D,144902.6,0.00022,34079744,1
D2D,143895.0,0.00023,34604032,1
D2D,144925.9,0.00023,35128320,1
D2D,144309.8,0.00024,35652608,1
D2D,145191.8,0.00024,36176896,1
D2D,143892.6,0.00024,36701184,1
D2D,144854.8,0.00025,37225472,1
D2D,143681.5,0.00025,37749760,1
D2D,144899.0,0.00025,38274048,1
D2D,143796.9,0.00026,38798336,1
D2D,144543.8,0.00026,39322624,1
D2D,143855.4,0.00026,39846912,1
D2D,145311.5,0.00026,40371200,1
D2D,143812.2,0.00027,40895488,1
D2D,145017.6,0.00027,41419776,1
D2D,143984.7,0.00028,41944064,1
D2D,145172.9,0.00028,42468352,1
D2D,143793.7,0.00029,42992640,1
D2D,145125.8,0.00029,43516928,1
D2D,143922.1,0.00029,44041216,1
D2D,144794.3,0.00029,44565504,1
D2D,144132.3,0.00030,45089792,1
D2D,144918.7,0.00030,45614080,1
D2D,143852.8,0.00031,46138368,1
D2D,144996.4,0.00031,46662656,1
D2D,144084.5,0.00031,47186944,1
D2D,144925.6,0.00031,47711232,1
D2D,144475.4,0.00032,48235520,1
D2D,145384.4,0.00032,48759808,1
D2D,144710.2,0.00032,49284096,1
D2D,145576.6,0.00033,49808384,1
D2D,144458.2,0.00033,50332672,1
D2D,145273.7,0.00033,50856960,1
D2D,144189.4,0.00034,51381248,1
D2D,145222.7,0.00034,51905536,1
D2D,143998.4,0.00035,52429824,1
D2D,145350.1,0.00035,52954112,1
D2D,144418.6,0.00035,53478400,1
D2D,145082.1,0.00035,54002688,1
D2D,144322.5,0.00036,54526976,1
D2D,145184.5,0.00036,55051264,1
D2D,144192.8,0.00037,55575552,1
D2D,145212.9,0.00037,56099840,1
D2D,144460.7,0.00037,56624128,1
D2D,145273.0,0.00038,57148416,1
D2D,144248.9,0.00038,57672704,1
D2D,144794.8,0.00038,58196992,1
D2D,144188.4,0.00039,58721280,1
D2D,145461.2,0.00039,59245568,1
D2D,143946.4,0.00040,59769856,1
D2D,144957.4,0.00040,60294144,1
D2D,144420.2,0.00040,60818432,1
D2D,145768.4,0.00040,61342720,1
D2D,144769.9,0.00041,61867008,1
D2D,145587.6,0.00041,62391296,1
D2D,144917.3,0.00041,62915584,1
D2D,145544.9,0.00042,63439872,1
D2D,144684.9,0.00042,63964160,1
D2D,145082.6,0.00042,64488448,1
D2D,144661.4,0.00043,65012736,1
D2D,145820.0,0.00043,65537024,1
D2D,144885.5,0.00043,66061312,1
D2D,145716.0,0.00044,66585600,1
Result = PASS
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --dtoh --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2H-Pinned,480.0,0.00000,1024,1
D2H-Pinned,6327.7,0.00008,525312,1
D2H-Pinned,6347.2,0.00016,1049600,1
D2H-Pinned,6372.1,0.00024,1573888,1
D2H-Pinned,6339.7,0.00032,2098176,1
D2H-Pinned,6376.9,0.00039,2622464,1
D2H-Pinned,6328.0,0.00047,3146752,1
D2H-Pinned,6387.4,0.00055,3671040,1
D2H-Pinned,6408.5,0.00062,4195328,1
D2H-Pinned,6395.0,0.00070,4719616,1
D2H-Pinned,6410.1,0.00078,5243904,1
D2H-Pinned,6417.0,0.00086,5768192,1
D2H-Pinned,6415.6,0.00094,6292480,1
D2H-Pinned,6416.8,0.00101,6816768,1
D2H-Pinned,6415.2,0.00109,7341056,1
D2H-Pinned,6399.7,0.00117,7865344,1
D2H-Pinned,6399.6,0.00125,8389632,1
D2H-Pinned,6391.1,0.00133,8913920,1
D2H-Pinned,6412.8,0.00140,9438208,1
D2H-Pinned,6422.7,0.00148,9962496,1
D2H-Pinned,6399.6,0.00156,10486784,1
D2H-Pinned,6416.5,0.00164,11011072,1
D2H-Pinned,6405.1,0.00172,11535360,1
D2H-Pinned,6408.7,0.00179,12059648,1
D2H-Pinned,6427.4,0.00187,12583936,1
D2H-Pinned,6378.7,0.00196,13108224,1
D2H-Pinned,6408.0,0.00203,13632512,1
D2H-Pinned,6420.4,0.00210,14156800,1
D2H-Pinned,6392.5,0.00219,14681088,1
D2H-Pinned,6395.6,0.00227,15205376,1
D2H-Pinned,6429.3,0.00233,15729664,1
